MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
52,62,21,0.984123003,2.071256083,-27.76429918,24.57083257,8.61549,5.383508718,0.395114653,0.01606,-39.287,5,0,0,0,0,4,6,0,0,0,0,0,4
52,63,113,0.980360877,2.070747916,-30.80274579,24.72425074,5.82664,3.328486818,0.389199967,0.08316,-38.45688,5,0,0,1,0,47,6,0,0,0,0,0,48
52,64,121,0.981938008,2.135533738,-31.06241801,25.54147006,5.21271,3.259984666,0.398359192,0.08159,-35.02541,5,0,0,0,0,13,6,0,0,0,0,0,13
52,65,87,0.982074896,2.183217524,-28.71235933,25.80100676,0.28181,4.093829184,0.395948513,0.21594,0.60129,2,1,24,4,16,0,5,0,0,7,1,37,0
52,66,14,0.975320299,2.143494296,-29.1933366,27.00250043,0.02988,4.028506129,0.382855476,0.19063,1.80645,4,0,16,0,60,0,5,0,0,2,20,54,0
52,67,194,0.97982787,2.294226862,-29.64582561,25.53637682,0.84081,3.735165498,0.393659933,0.16263,-4.47789,3,0,0,23,13,3,3,0,0,23,0,12,4
52,68,14,0.988651814,2.122736188,-25.66276336,26.1271368,5.66311,4.424386084,0.398109735,0.21096,1.60287,1,1,0,1,1,0,5,0,0,0,0,2,1
52,69,47,0.977507916,2.27000203,-26.60974896,25.21005819,1.66892,6.123385786,0.401356761,0.16087,-6.65354,3,0,1,14,5,1,3,0,0,10,3,4,4
52,70,44,0.978720471,2.316813484,-26.56894105,24.82498292,1.79583,7.090003451,0.422760886,0.14026,-9.18366,3,0,0,43,0,5,3,0,0,34,0,8,6
52,71,33,0.987994753,2.237833357,-22.37307459,27.6180372,3.12261,6.385949873,0.397388405,0.20819,-2.39397,3,0,0,1,1,0,5,0,0,0,0,2,0
52,72,37,0.985840038,2.331211365,-22.97524242,28.04797025,2.35995,5.467197778,0.410638149,0.09299,-10.66624,5,0,0,3,8,33,6,0,0,13,0,10,21
52,73,49,0.985017076,2.342634938,-22.23524158,28.91789639,5.2367,5.978282328,0.435196447,0.03521,-29.75518,5,0,0,0,0,40,6,0,0,0,0,0,40
52,74,28,0.980125119,2.418988504,-22.0832071,27.93746104,7.1391,9.222616875,0.434477672,0.013,-41.02504,5,0,0,0,0,8,6,0,0,0,0,0,8
52,75,28,0.976810972,2.516733587,-20.90711659,29.13323877,3.85288,11.07022475,0.455326875,0.03936,-29.00317,5,0,0,3,3,32,6,0,0,0,0,4,34
52,76,44,0.989906154,2.228321015,-20.3219246,29.45050862,4.35469,6.092699404,0.463836446,0.03729,-31.97774,5,0,0,0,0,13,6,0,0,0,0,0,13
52,77,37,0.982792206,2.329613497,-20.01219893,29.95357626,0.08548,7.423136133,0.458811222,0.20095,-0.34668,2,0,15,9,13,0,3,0,0,18,3,16,0
52,78,39,0.983100587,2.315875021,-19.59073879,30.34034469,0.06247,7.063748766,0.471205738,0.19937,0.41475,4,0,18,3,25,0,5,0,0,11,9,26,0
52,79,53,0.980523919,2.238948695,-20.3240175,30.54564639,0.06552,6.923809741,0.473865035,0.16923,-2.27334,3,0,0,4,0,0,3,0,0,4,0,0,0
52,80,83,0.982609516,2.216570891,-19.39004724,30.49718435,0.91409,7.445416744,0.450444565,0.17863,-0.11535,4,0,0,36,42,1,3,0,0,37,33,6,3
52,81,38,0.989513623,2.466773877,-16.37838686,31.17739063,4.54836,9.167561066,0.416759429,0.18675,4.70001,4,0,0,0,4,0,4,0,0,0,4,0,0
52,82,80,0.985688553,2.508012292,-16.45320753,31.07456516,0.63598,10.14245054,0.440216384,0.23875,-1.56337,2,0,10,6,3,1,4,0,0,5,13,0,2
52,83,53,0.975834968,2.768448556,-15.03194298,30.32031728,3.30223,12.42277496,0.457873631,0.12385,-7.41356,3,0,0,19,0,5,5,0,0,5,0,14,5
52,84,91,0.978580039,2.897085879,-14.77017621,30.69709617,4.10117,11.27028421,0.476275394,0.0539,-11.33045,5,0,0,2,3,16,6,0,0,0,1,3,17
52,85,220,0.97770135,2.787861725,-14.04598025,29.05900241,3.74105,6.721333572,0.498243372,0.01642,-20.07639,5,0,0,0,0,10,6,0,0,0,0,0,10
52,86,38,0.979134928,2.654181192,-14.27978274,28.65329885,5.73615,6.253861741,0.505381572,0.01431,-28.05724,5,0,0,0,0,26,6,0,0,0,0,0,26
