frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
55,52,15,0.986950753,1.574274214,-26.11963246,17.45010817,2.630276428,0.501309297
55,53,36,0.990971383,1.573420802,-26.74612258,18.00848223,2.326595848,0.502753461
55,54,17,0.99036997,1.5763235,-26.97087695,18.68772839,2.471508935,0.50053797
55,55,18,0.99093851,1.567957404,-29.03002091,17.83198832,1.686736937,0.504551623
55,56,9,0.990110447,1.635852299,-29.65260238,18.42900879,7.167604194,0.343254013
55,57,106,0.991964671,1.627731369,-30.44793395,19.62731067,3.544883877,0.407708723
55,58,44,0.992494387,1.69341924,-31.42679364,18.13796255,1.943921422,0.443382406
55,59,27,0.987762048,1.88538384,-32.26766226,18.91593098,5.099973305,0.305432289
55,61,36,0.987281506,1.973717288,-33.58790564,20.79515215,5.371916364,0.312937535
55,62,9,0.982393088,1.963437668,-33.0697219,22.79993984,6.510967582,0.300514055
55,63,18,0.984904072,2.054190429,-30.76812247,23.92549886,6.508344993,0.303848227
55,64,17,0.988606132,2.028224989,-28.93077745,25.75043887,8.595399532,0.323501718
55,65,9,0.990522195,1.992606584,-24.55560942,25.02102626,7.343489211,0.341898298
55,66,9,0.988785589,2.048327294,-24.0230111,26.43685733,9.574359861,0.355804514
55,67,17,0.987607305,2.043002032,-23.5668496,26.30316552,9.327616533,0.363526547
55,68,52,0.989154171,2.494647493,-24.19983034,27.4794307,7.27897881,0.340450093
55,69,116,0.979801797,2.422014357,-24.10770897,26.23241566,6.766100049,0.345485934
55,70,25,0.986916135,2.395848702,-22.09239774,26.92908477,10.54223746,0.382789969
55,71,18,0.985298339,2.44296318,-21.10762552,28.53381386,8.083593868,0.363411781
55,75,9,0.975045934,2.491449395,-18.30610969,31.49482769,12.53626544,0.457771251
55,76,26,0.985884799,2.539002348,-17.11219959,32.33145196,12.63850427,0.456847789
55,79,9,0.984957756,2.702362958,-14.09221017,33.07485311,9.960424153,0.502139289
55,80,9,0.990554678,2.651239511,-14.11987414,30.86805188,9.382238197,0.508883913
55,81,26,0.986106566,2.463484652,-15.23953976,31.7980813,11.17881033,0.469800027
55,82,17,0.992130065,2.402037159,-16.18324078,33.08711479,11.03139724,0.447237707
55,83,18,0.990568447,2.509732731,-16.26125935,32.32029872,11.23023835,0.451372758
55,84,8,0.989273565,2.610997246,-16.25943274,33.2975936,11.27697069,0.456756916
55,86,9,0.989645203,2.583363881,-14.57255477,30.33857839,11.53586854,0.490294764
55,87,62,0.987351095,2.680588574,-13.83184615,31.83325376,11.08951937,0.501344825
55,88,97,0.983621281,2.777375363,-13.8119717,30.80578499,10.86751615,0.504583577
55,89,9,0.99009948,2.749136147,-14.76213683,31.11392423,11.00414344,0.500026067
56,59,10,0.989760025,1.668636023,-32.23121206,15.85941763,3.562992498,0.439698942
56,63,10,0.984865573,2.054405942,-35.44490752,20.44438003,8.229247009,0.284985661
56,66,20,0.9886573,2.098703777,-35.29543499,22.56058843,5.435016829,0.331060122
56,69,20,0.987222007,2.006853182,-27.61658991,25.40055822,5.604871408,0.375589223
56,70,27,0.978494046,2.028976943,-22.68491164,26.24361129,7.183017841,0.376915678
56,71,20,0.991700278,1.833310373,-29.39514364,23.58040655,4.382553581,0.379456163
56,75,20,0.979014409,2.118116801,-20.09005761,23.55394452,5.96680677,0.411576032
56,76,9,0.975763076,2.042122632,-19.64262495,24.24983887,6.250726121,0.432434089
