MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
52,53,22,0.986834934,1.704474131,-25.03279803,5.942252395,0.63708,4.651972367,0.365764375,0.18454,1.83115,4,0,8,5,38,0,5,0,0,2,9,40,0
52,54,7,0.964967475,1.7749005,-27.09022948,7.009066342,3.10427,10.55615187,0.411815428,0.07978,-9.33219,5,0,0,8,0,13,6,0,0,0,0,6,15
52,55,7,0.974010632,1.842685513,-28.49648837,8.055051561,3.68006,10.41810479,0.26260173,0.16202,-4.29297,4,0,3,1,4,4,5,0,0,0,0,8,4
52,57,15,0.975647785,1.960618024,-29.54756613,12.16250036,2.94503,2.953083144,0.429798088,0.13662,-7.34274,3,1,0,6,4,4,6,0,0,5,2,2,6
52,58,16,0.981216343,1.893526657,-28.57472362,13.33744155,2.7964,6.484206127,0.343587258,0.12196,-9.34631,3,0,0,14,0,2,3,0,0,7,0,2,7
52,59,7,0.991223503,1.949282998,-25.65736744,13.98942654,1.64428,8.234201765,0.290617687,0.09439,-10.57843,5,0,0,1,1,9,6,0,0,3,0,2,6
52,60,8,0.989843156,2.015712615,-26.66075824,13.71657363,2.52504,8.075098712,0.297827159,0.1113,-12.30731,5,0,0,23,15,48,6,0,0,4,0,38,44
52,61,29,0.983244889,2.095445261,-29.78265246,14.48440357,6.29484,8.102021318,0.33876996,0.03117,-30.05118,5,0,0,0,0,27,6,0,0,0,0,0,27
52,62,16,0.984123003,2.105052254,-27.76429918,14.57083257,8.61549,8.065979487,0.358503742,0.01606,-39.287,5,0,0,0,0,4,6,0,0,0,0,0,4
52,63,52,0.980360877,2.626715169,-30.80274579,14.72425074,5.82664,8.271425352,0.257954881,0.08316,-38.45688,5,0,0,1,0,47,6,0,0,0,0,0,48
52,64,60,0.981938008,2.56473001,-31.06241801,15.54147006,5.21271,7.407853529,0.288859044,0.08159,-35.02541,5,0,0,0,0,13,6,0,0,0,0,0,13
52,65,54,0.982074896,2.396314128,-28.71235933,15.80100676,0.28181,6.224241424,0.329001406,0.21594,0.60129,2,1,24,4,16,0,5,0,0,7,1,37,0
52,66,8,0.975320299,2.631453796,-29.1933366,17.00250043,0.02988,8.205019316,0.278220772,0.19063,1.80645,4,0,16,0,60,0,5,0,0,2,20,54,0
52,67,117,0.97982787,2.501296471,-29.64582561,15.53637682,0.84081,6.679307785,0.307797268,0.16263,-4.47789,3,0,0,23,13,3,3,0,0,23,0,12,4
52,68,8,0.988651814,2.669307994,-25.66276336,16.1271368,5.66311,8.824621508,0.300236346,0.21096,1.60287,1,1,0,1,1,0,5,0,0,0,0,2,1
52,69,38,0.977507916,2.395123268,-26.60974896,15.21005819,1.66892,7.348975677,0.369053754,0.16087,-6.65354,3,0,1,14,5,1,3,0,0,10,3,4,4
52,70,39,0.978720471,2.350750793,-26.56894105,14.82498292,1.79583,7.394689993,0.402335068,0.14026,-9.18366,3,0,0,43,0,5,3,0,0,34,0,8,6
52,71,23,0.987994753,2.342102333,-22.37307459,17.6180372,3.12261,8.311851542,0.373838043,0.20819,-2.39397,3,0,0,1,1,0,5,0,0,0,0,2,0
52,72,21,0.985840038,2.475300042,-22.97524242,18.04797025,2.35995,9.042501431,0.36049481,0.09299,-10.66624,5,0,0,3,8,33,6,0,0,13,0,10,21
52,73,31,0.985017076,2.438400705,-22.23524158,18.91789639,5.2367,9.018025181,0.375565538,0.03521,-29.75518,5,0,0,0,0,40,6,0,0,0,0,0,40
52,74,23,0.980125119,2.487254049,-22.0832071,17.93746104,7.1391,10.30380544,0.407217637,0.013,-41.02504,5,0,0,0,0,8,6,0,0,0,0,0,8
52,75,23,0.976810972,2.614248759,-20.90711659,19.13323877,3.85288,12.32846143,0.428213092,0.03936,-29.00317,5,0,0,3,3,32,6,0,0,0,0,4,34
52,76,22,0.989906154,2.547338457,-20.3219246,19.45050862,4.35469,12.96906305,0.381041891,0.03729,-31.97774,5,0,0,0,0,13,6,0,0,0,0,0,13
52,77,23,0.982792206,2.589424186,-20.01219893,19.95357626,0.08548,11.70790627,0.40376209,0.20095,-0.34668,2,0,15,9,13,0,3,0,0,18,3,16,0
52,78,23,0.983100587,2.664674101,-19.59073879,20.34034469,0.06247,11.70692778,0.411745712,0.19937,0.41475,4,0,18,3,25,0,5,0,0,11,9,26,0
52,79,30,0.980523919,2.628172471,-20.3240175,20.54564639,0.06552,11.71679139,0.418585484,0.16923,-2.27334,3,0,0,4,0,0,3,0,0,4,0,0,0
52,80,45,0.982609516,2.621549614,-19.39004724,20.49718435,0.91409,12.37123562,0.428223485,0.17863,-0.11535,4,0,0,36,42,1,3,0,0,37,33,6,3
52,81,22,0.989513623,2.862104969,-16.37838686,21.17739063,4.54836,13.91529011,0.433385164,0.18675,4.70001,4,0,0,0,4,0,4,0,0,0,4,0,0
52,82,53,0.985688553,2.881795579,-16.45320753,21.07456516,0.63598,12.60968257,0.447123199,0.23875,-1.56337,2,0,10,6,3,1,4,0,0,5,13,0,2
52,83,44,0.975834968,2.941764666,-15.03194298,20.32031728,3.30223,13.33109566,0.459311844,0.12385,-7.41356,3,0,0,19,0,5,5,0,0,5,0,14,5
