MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
60;51;11;0.482319;2.02787;-26.5931;23.7161;0;7.4635;0.445127;0.24234;-18.7873;1;4;0;0;0;0;4;0;0;0;4;0
60;53;12;0.495755;2.23087;-27.8206;27.0605;0;4.04929;0.411282;0.23436;-18.8677;1;3;0;0;0;0;4;0;0;0;3;0
61;40;56;0.494682;1.98223;-30.4861;22.7265;0;6.44748;0.345591;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;41;12;0.478069;1.88173;-32.7895;21.3245;0;6.25976;0.394944;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;42;31;0.494031;2.61809;-23.583;26.9974;0;7.13855;0.321593;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;43;96;0.491717;2.60963;-22.1768;27.5262;0;7.66701;0.329178;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;44;26;0.49567;2.67012;-21.3926;27.3946;0;8.36422;0.335612;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;45;27;0.493753;2.48801;-23.7226;26.8021;0;6.90085;0.332514;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;46;9;0.495765;2.69307;-19.1022;29.9213;0;8.40981;0.346628;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;67;12;0.49472;2.56009;-16.67;32.8628;0;11.1236;0.502908;0.21893;0.86283;4;0;0;7;9;0;1;11;5;0;0;0
62;40;73;0.488921;1.8542;-27.638;20.9074;0;5.84596;0.4247;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;41;8;0.494216;2.02615;-22.5792;27.2281;0;6.66297;0.380005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;42;44;0.488532;2.33831;-26.7283;25.9639;0;8.64584;0.380973;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;43;26;0.492313;2.28023;-22.9824;27.1171;0;7.73796;0.370732;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;44;17;0.492004;2.26396;-22.4615;26.8544;0;11.4478;0.401263;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;45;9;0.491421;2.38221;-20.1104;28.9714;0;13.631;0.429614;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;46;12;0.485236;1.96139;-32.9249;25.1676;0;4.39211;0.41107;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;47;9;0.495594;2.59198;-19.0356;30.6978;0;9.0898;0.358659;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;48;8;0.496342;2.56738;-18.7728;30.4999;0;9.85554;0.36761;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;50;9;0.496786;2.57508;-18.1137;32.2624;0;9.97839;0.370177;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;51;17;0.496789;2.53628;-17.6094;32.4364;0;11.7962;0.389724;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;52;26;0.495561;2.50463;-17.1896;33.4299;0;13.2667;0.420174;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;53;26;0.496013;2.50502;-16.5993;33.7777;0;13.5355;0.429484;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;54;70;0.495111;2.50199;-16.3831;33.2044;0;13.1546;0.443284;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;55;26;0.496263;2.39106;-15.7203;32.748;0;11.9149;0.447393;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;56;17;0.495726;2.44651;-16.2735;32.7678;0;11.6972;0.449834;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;57;8;0.467226;2.74538;-13.7513;27.8202;0;11.5836;0.510019;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;58;26;0.495345;2.61453;-16.3701;31.125;0;12.2174;0.460127;0;0;0;0;0;0;0;0;0;0;0;0;0;0
